Region,Population
Белгородская область,1 549 151
Брянская область,1 192 491
Владимирская область,1 358 416
Воронежская область,2 324 205
Ивановская область,997 135
Калужская область,1 002 575
Костромская область,633 385
Курская область,1 104 008
Липецкая область,1 139 371
Московская область,7 690 863
Орловская область,733 498
Рязанская область,1 108 847
Смоленская область,934 889
Тамбовская область,1 006 748
Тверская область,1 260 379
Тульская область,1 466 127
Ярославская область,1 253 389
г. Москва,12 678 079
Республика Карелия,614 064
Республика Коми,820 473
Архангельская область,1 136 535
Ненецкий автономный округ,44 111
Архангельская обл. без НАО,1 092 424
Вологодская область,1 160 445
Калининградская область,1 012 512
Ленинградская область,1 875 872
Мурманская область,741 404
Новгородская область,596 508
Псковская область,626 115
г.Санкт-Петербург,5 398 064
Республика Адыгея,463 088
Республика Калмыкия,271 135
Республика Крым,1 912 622
Краснодарский край,5 675 462
Астраханская область,1 005 782
Волгоградская область,2 491 036
Ростовская область,4 197 821
г. Севастополь,449 138
Республика Дагестан,3 110 858
Республика Ингушетия,507 061
Кабардино-Балкарская Респ.,868 350
Карачаево-Черкесская Респ.,465 528
Респ. Сев. Осетия-Алания,696 837
Чеченская Республика,1 478 726
Ставропольский край,2 803 573
Республика Башкортостан,4 038 151
Республика Марий Эл,679 417
Республика Мордовия,790 197
Республика Татарстан,3 902 888
Удмуртская Республика,1 500 955
Чувашская Республика,1 217 818
Пермский край,2 599 260
Кировская область,1 262 402
Нижегородская область,3 202 946
Оренбургская область,1 956 835
Пензенская область,1 305 563
Самарская область,3 179 532
Саратовская область,2 421 895
Ульяновская область,1 229 824
Курганская область,827 166
Свердловская область,4 310 681
Тюменская область,3 756 536
Ханты-Мансийский АО-Югра,1 674 676
Ямало-Ненецкий АО,544 444
Тюменская область без АО,1 537 416
Челябинская область,3 466 369
Республика Алтай,220 181
Республика Тыва,327 383
Республика Хакасия,534 262
Алтайский край,2 317 153
Красноярский край,2 866 255
Иркутская область,2 391 193
Кемеровская область,2 657 854
Новосибирская область,2 798 170
Омская область,1 926 665
Томская область,1 079 271
Республика Бурятия,985 937
Республика Саха (Якутия),971 996
Забайкальский край,1 059 700
Камчатский край,313 016
Приморский край,1 895 868
Хабаровский край,1 315 643
Амурская область,790 044
Магаданская область,140 149
Сахалинская область,488 257
Еврейская авт. область,158 305
Чукотский автономный округ,50 288
